Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
181	1	-146.8159	-114.5438	-32.27219	1	0.363153	0.371419	0.357745	0.396385	0.403791	0.384434	0.389528	0.353642	0.353718
182	0	-166.8418	-116.2526	-50.58921	1	0.700378	0.616057	0.520861	0.369588	0.348446	0.29031	0.271412	0.262377	0.248843
183	1	-160.3659	-117.2385	-43.12742	1	0.359391	0.360787	0.370927	0.374201	0.377933	0.389318	0.396238	0.219922	0.219745
184	0	-177.3312	-118.6782	-58.65303	1	0.379462	0.378497	0.524342	0.388063	0.233498	0.233583	0.236175	0.236121	0.242598
185	1	-181.7995	-116.096	-65.7035	1	0.305995	0.32755	0.324722	0.33108	0.338911	0.361609	0.360434	0.355948	0.349056
186	0	-168.4781	-114.371	-54.1071	1	0.819979	0.83234	0.84365	0.836555	0.287874	0.210212	0.215401	0.219172	0.236061
187	1	-197.5754	-115.0829	-82.49251	1	0.148344	0.150086	0.136859	0.19773	0.190558	0.20106	0.191041	0.135906	0.113524
188	0	-172.9435	-113.6138	-59.3297	1	1.01285	1.01724	1.02797	0.81119	0.353437	0.379171	0.370125	0.386856	0.383371
189	1	-160.1722	-113.6692	-46.50294	1	0.0952805	0.0954754	0.466775	0.495334	0.566747	0.548363	0.548092	0.628068	0.686212
190	0	-180.0932	-113.4261	-66.66706	1	1.00827	1.01435	1.17355	0.433186	0.305836	0.320017	0.323106	0.322668	0.335465
191	1	-169.2858	-112.014	-57.27175	1	0.131475	0.129886	0.443629	0.43854	0.345389	0.383918	0.384468	0.34912	0.36235
192	0	-185.006	-116.3594	-68.64655	1	0.994714	0.970781	0.965692	0.648108	0.546502	0.535689	0.455366	0.454238	0.468828
193	1	-160.7315	-111.966	-48.7655	1	0.0931186	0.101396	0.411487	0.38884	0.388048	0.382154	0.355682	0.291794	0.324291
