Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
274	0	-95.7794	-96.47656	0.6971585	0.951151	0	0	0	0.842639	0	0	0	0
275	1	-89.10438	-102.0071	12.90277	0	0	0	0	0	0	0	0	0
276	0	-92.89014	-95.89036	3.000228	0.933486	0	0	0	0.890771	0	0	0	0
277	1	-76.31442	-104.7353	28.42088	0	0	0	0	0	0	0	0	0
278	0	-107.217	-97.1499	-10.06712	0.926998	0	0	0	0	0	0	0	0
279	1	-107.3824	-102.7931	-4.589277	0	0	0	0	0	0	0	0	0
280	0	-133.5398	-101.2643	-32.27553	0	0	0	0	0	0	0	0	0
281	1	-102.0156	-99.52404	-2.491566	0.850935	0	0	0	0	0	0	0	0
282	0	-137.3316	-98.05187	-39.27971	0	0	0	0	0.93068	0	0	0	0
283	1	-113.5477	-101.8707	-11.67698	0	0	0	0	0.823959	0	0	0	0
284	0	-109.701	-100.7828	-8.918171	0	0	0	0	0.940236	0	0	0	0
285	1	-129.0305	-98.46679	-30.56374	0	0	0	0	0	0	0	0	0
286	0	-90.42104	-95.47329	5.052257	0.935303	0	0	0	0.923681	0	0	0	0
287	1	-129.2702	-100.5647	-28.7055	0	0	0	0	0	0	0	0	0
288	0	-119.0266	-95.5545	-23.47206	0.951253	0	0	0	0.854766	0	0	0	0
289	1	-123.9315	-103.4288	-20.50278	0	0	0	0	0	0	0	0	0
290	0	-85.5901	-101.1609	15.57082	0.906756	0	0	0	0	0	0	0	0
291	1	-109.4705	-100.6534	-8.817104	0	0	0	0	0	0	0	0	0
292	0	-120.0193	-98.85573	-21.16358	0.892621	0	0	0	0	0	0	0	0
293	1	-90.11834	-102.7946	12.67629	0	0	0	0	0	0	0	0	0
294	0	-134.7134	-96.88995	-37.82341	0.808871	0	0	0	0	0	0	0	0
295	1	-88.59425	-103.399	14.80476	0	0	0	0	0	0	0	0	0
296	0	-117.7672	-97.09708	-20.6701	0.834335	0	0	0	0	0	0	0	0
