Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
238	0	-99.97728	-105.0145	5.037199	0.00149439	0.003043139	0.08204073
239	1	-101.5344	-106.4551	4.920669	0.004243236	0.008060748	0.0930857
240	0	-100.503	-105.4942	4.991127	0.00457909	0.004358791	0.08642788
241	1	-103.0123	-108.0428	5.030496	0.004592485	0.01314839	0.08087715
242	0	-100.6301	-105.4139	4.783763	0.008592046	0.002730852	0.1068046
243	1	-100.2474	-105.0874	4.840061	0.005167532	0.002532113	0.1016492
244	0	-100.1385	-105.2595	5.120931	0.007967084	0.0005069067	0.07284899
245	1	-100.6394	-105.4608	4.821394	0.02107604	0.001131759	0.09948758
246	0	-101.1009	-105.879	4.778111	0.0001151089	0.00531938	0.1078999
247	1	-102.3918	-107.2698	4.877977	0.03609233	0.00183608	0.08585695
248	0	-104.1511	-108.9523	4.801205	0.009849394	0.01553941	0.1025142
249	1	-100.9129	-105.5489	4.63602	0.01854057	0.0005764542	0.1191017
250	0	-99.43528	-104.459	5.023717	0.004369766	0.0004260083	0.08333431
251	1	-101.5694	-106.5135	4.944105	0.01384819	0.005949364	0.08930045
252	0	-101.6685	-106.7366	5.068041	0.008054895	0.006904167	0.07784572
253	1	-100.326	-105.4984	5.172363	0.003335489	0.001520538	0.06791638
254	0	-99.99061	-104.9381	4.947456	0.01520479	3.332551e-05	0.08893024
255	1	-99.53616	-104.4061	4.869949	0.001416053	0.000851403	0.09896377
256	0	-99.38177	-104.3475	4.965767	0.005216037	0.0001936062	0.08911392
257	1	-100.2095	-105.1058	4.8963	0.001545509	0.00356296	0.09620432
258	0	-113.2241	-115.5489	2.324739	0.1784419	0.005895517	0.2238396
259	1	-100.7495	-105.5991	4.849621	0.01878914	0.002028416	0.09751305
260	0	-100.5069	-105.2097	4.702747	0.01530804	0.0004549192	0.1134295
261	1	-99.30387	-104.2292	4.925344	0.004067049	3.563293e-05	0.09328096
262	0	-104.1313	-108.284	4.152656	0.07471508	0.000738879	0.1266177
263	1	-100.4481	-105.2957	4.847677	0.01593652	0.001550738	0.0986862
264	0	-102.7653	-107.6169	4.851611	0.0305189	0.005671999	0.09158767
265	1	-100.4363	-105.315	4.878694	0.01456815	0.001865783	0.09598057
266	0	-102.2928	-107.424	5.131198	0.005960378	0.00862471	0.07128126
267	1	-102.9296	-107.3125	4.38283	0.02739461	0.00207681	0.1412909
268	0	-101.3957	-106.2802	4.884478	0.01745491	0.004577564	0.09432445
269	1	-99.59992	-104.5055	4.905592	0.001748219	0.001386714	0.09537531
270	0	-102.2936	-106.7517	4.458044	0.003931924	0.0002365115	0.1408702
271	1	-100.904	-105.8127	4.908643	0.002711997	0.005993185	0.09468707
272	0	-102.7758	-107.5647	4.78892	0.01399496	0.009710879	0.104217
273	1	-100.5525	-105.4431	4.890608	0.002225113	0.004646253	0.09665946
274	0	-100.6739	-105.6934	5.01957	0.0136974	0.002228853	0.08200947
275	1	-103.4271	-107.7508	4.323712	0.05533688	0.002506443	0.1271103
276	0	-100.731	-105.4015	4.670422	0.01907977	0.0004658235	0.1154204
277	1	-104.9292	-108.9505	4.021209	0.05826501	0.003215747	0.1565367
278	0	-100.1146	-104.9709	4.856262	0.01486714	0.0006181549	0.09816966
279	1	-99.28723	-104.2989	5.01171	0.003347636	0.0001982562	0.08463475
280	0	-102.8751	-107.405	4.52993	0.02388783	0.005188289	0.1274564
281	1	-103.0555	-107.4827	4.427214	0.03687562	0.00376277	0.1307601
282	0	-105.3362	-109.7524	4.416193	0.01599295	0.01066322	0.1415953
283	1	-103.3633	-107.7503	4.387021	0.003097647	0.001210958	0.1485106
284	0	-99.24083	-104.2035	4.9627	0.0005348296	0.0006427577	0.08968928
285	1	-100.2675	-105.3571	5.089631	0.007110124	0.001891706	0.07621487
286	0	-101.5953	-106.2689	4.673608	0.008332026	0.004221606	0.1178381
287	1	-103.6488	-108.2213	4.572436	0.0571193	0.001756603	0.1004752
288	0	-101.5971	-106.3872	4.790087	0.02188815	0.004185432	0.1021228
289	1	-100.4095	-105.3793	4.969818	0.0163306	0.001023135	0.08631445
290	0	-107.7549	-111.2355	3.480624	0.09017437	0.004438057	0.183646
291	1	-100.3795	-105.1735	4.793932	0.01242665	0.001490436	0.1050402
292	0	-102.6932	-107.4007	4.707518	0.02079267	0.007568184	0.1104481
293	1	-100.3452	-105.1355	4.790267	0.007444404	0.001936833	0.1063732
294	0	-100.6454	-105.3976	4.75222	0.02095584	0.000864569	0.106463
295	1	-100.3948	-105.1054	4.710629	0.009431955	0.0006165916	0.1140755
296	0	-100.877	-105.5306	4.653613	0.01125817	0.001087038	0.1194597
297	1	-101.3749	-106.0427	4.667867	0.02998475	0.00144112	0.1105874
298	0	-103.2987	-107.9128	4.614057	0.01566203	0.008682259	0.121548
299	1	-100.4836	-105.6683	5.184674	0.005817001	0.0007522383	0.0663602
300	0	-102.1666	-107.1905	5.023936	0.02379111	0.003482605	0.07774844
