Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
342	0	-46.95703	0	-46.95703	0.005752302
343	1	370.9618	0	370.9618	9.93644e-05
344	0	-45.39609	0	-45.39609	0.006737329
345	1	371.0593	0	371.0593	0.0001003051
346	0	-47.01114	0	-47.01114	0.005735977
347	1	371.1998	0	371.1998	0.0001018919
348	0	-46.3576	0	-46.3576	0.007867769
349	1	368.1162	0	368.1162	0.0001442857
350	0	-46.48704	0	-46.48704	0.007942068
351	1	371.0633	0	371.0633	0.0001003464
352	0	-48.15136	0	-48.15136	0.005450459
353	1	371.3555	0	371.3555	0.0001163157
354	0	-45.70969	0	-45.70969	0.007402843
355	1	371.2869	0	371.2869	0.0001176578
356	0	-45.81844	0	-45.81844	0.006233095
357	1	370.3526	0	370.3526	9.496012e-05
358	0	-45.40194	0	-45.40194	0.006944805
359	1	371.3697	0	371.3697	0.0001160057
360	0	-45.5876	0	-45.5876	0.007275665
361	1	371.1308	0	371.1308	0.0001010718
362	0	-46.03017	0	-46.03017	0.00611122
363	1	371.461	0	371.461	0.0001134595
364	0	-48.53376	0	-48.53376	0.008858022
365	1	371.4967	0	371.4967	0.0001116751
366	0	-45.41469	0	-45.41469	0.006670185
367	1	371.482	0	371.482	0.0001076184
368	0	-45.41469	0	-45.41469	0.006670185
369	1	370.3727	0	370.3727	0.0001283426
370	0	-46.05342	0	-46.05342	0.007675049
371	1	371.467	0	371.467	0.000113225
372	0	-45.52864	0	-45.52864	0.006478073
373	1	370.788	0	370.788	0.0001243056
374	0	-47.96541	0	-47.96541	0.005491087
375	1	370.9779	0	370.9779	9.951249e-05
376	0	-46.64549	0	-46.64549	0.008028439
377	1	371.3135	0	371.3135	0.0001171636
378	0	-45.98331	0	-45.98331	0.007625707
379	1	371.1765	0	371.1765	0.0001016043
380	0	-46.05933	0	-46.05933	0.007679107
381	1	371.1113	0	371.1113	0.0001204038
382	0	-45.47166	0	-45.47166	0.006555251
383	1	368.8703	0	368.8703	8.830789e-05
384	0	-45.48497	0	-45.48497	0.006535211
385	1	370.681	0	370.681	0.0001254208
