Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
252	0	-284.3653	0	-284.3653	0.0889326	0.7217182	0.1231655	7.794073	-6.300251
253	1	225.6948	0	225.6948	0.1244517	0.796408	0.001981039	5.569607	3.042905
254	0	-279.7054	0	-279.7054	0.05624338	0.5961952	0.1188496	12.32407	-6.615044
255	1	224.7278	0	224.7278	0.1574384	0.8381661	0.002088963	4.402656	3.049729
256	0	-278.9417	0	-278.9417	0.0458431	0.5355273	0.1040065	15.11999	-6.463711
257	1	225.0351	0	225.0351	0.1117238	0.7743426	0.001742635	6.204115	3.052434
258	0	-279.958	0	-279.958	0.04843101	0.5519085	0.1144931	14.31205	-6.614656
259	1	220.7305	0	220.7305	0.066473	0.6443271	0.001434663	10.4275	3.052759
260	0	-280.7803	0	-280.7803	0.05070567	0.5655701	0.1452133	13.67001	-6.355784
261	1	223.6744	0	223.6744	0.09442909	0.736308	0.001355071	7.340399	3.052759
262	0	-280.3838	0	-280.3838	0.08396345	0.7072553	0.1281756	8.255344	-6.36572
263	1	225.0022	0	225.0022	0.09464022	0.7368412	0.001570441	7.324024	3.043832
264	0	-277.7998	0	-277.7998	0.09199085	0.7300075	0.1810919	7.534958	-6.421565
265	1	225.7605	0	225.7605	0.1371436	0.8146921	0.001949738	5.054171	3.043832
266	0	-279.4453	0	-279.4453	0.1129995	0.7767517	0.2152018	6.134072	-6.51607
267	1	224.3628	0	224.3628	0.2066902	0.8765076	0.003167673	3.353556	3.043832
268	0	-281.5393	0	-281.5393	0.1093636	0.7697571	0.1690305	6.338007	-6.28611
269	1	225.7331	0	225.7331	0.1515872	0.8320105	0.002243547	4.572597	3.044792
270	0	-277.6018	0	-277.6018	0.06118009	0.620672	0.1324196	11.32962	-6.423358
271	1	224.1227	0	224.1227	0.2197787	0.8838477	0.003008742	3.153842	3.044792
272	0	-277.6165	0	-277.6165	0.06339287	0.6308679	0.1372771	10.93415	-6.403115
273	1	221.8775	0	221.8775	0.2901993	0.9120185	0.003869219	2.388521	3.047594
274	0	-278.8727	0	-278.8727	0.05079171	0.566074	0.1304841	13.64686	-6.476939
275	1	223.5758	0	223.5758	0.1926374	0.8675285	0.002400519	3.598197	3.047594
276	0	-279.2863	0	-279.2863	0.05162	0.570877	0.1313189	13.42788	-6.54721
277	1	224.5878	0	224.5878	0.2010758	0.8730689	0.002801288	3.447194	3.046624
278	0	-280.6425	0	-280.6425	0.07048676	0.6606802	0.1353215	9.833722	-6.209648
279	1	225.3142	0	225.3142	0.1672802	0.847585	0.002545216	4.14363	3.046624
280	0	-277.8643	0	-277.8643	0.0734528	0.6719708	0.1574202	9.436633	-6.373103
281	1	224.3829	0	224.3829	0.2070918	0.8767465	0.002846069	3.347052	3.046624
282	0	-278.1847	0	-278.1847	0.0944608	0.7363882	0.1856654	7.337934	-6.366106
283	1	225.1109	0	225.1109	0.1718692	0.8516196	0.002346815	4.032993	3.046624
284	0	-277.4515	0	-277.4515	0.06815469	0.6513357	0.1346832	10.17021	-6.399708
285	1	225.48	0	225.48	0.1636351	0.844224	0.002377901	4.235933	3.046624
286	0	-278.2683	0	-278.2683	0.09691827	0.7424745	0.1820265	7.151873	-6.504509
287	1	224.2266	0	224.2266	0.2047868	0.8753627	0.002726227	3.384727	3.046624
288	0	-278.0461	0	-278.0461	0.05351425	0.5815489	0.122535	12.95257	-6.40752
289	1	224.6383	0	224.6383	0.1709091	0.850793	0.002219687	4.055648	3.046624
290	0	-279.6558	0	-279.6558	0.04802275	0.5493849	0.1266268	14.43373	-6.314884
291	1	225.7869	0	225.7869	0.1231247	0.7942983	0.001884381	5.629634	3.046624
292	0	-278.0101	0	-278.0101	0.1003839	0.75064	0.1767723	6.904966	-6.415027
293	1	225.2477	0	225.2477	0.1460859	0.8257953	0.002377658	4.744791	3.046624
294	0	-277.7792	0	-277.7792	0.0675703	0.6489265	0.1261276	10.25816	-6.410018
295	1	225.5893	0	225.5893	0.1420671	0.8209676	0.002233586	4.879014	3.046624
296	0	-278.3873	0	-278.3873	0.06572813	0.6411476	0.1533536	10.54567	-6.383467
297	1	224.1078	0	224.1078	0.1649242	0.8454291	0.002603663	4.202823	3.054076
298	0	-278.0331	0	-278.0331	0.092605	0.7316195	0.1767933	7.484986	-6.498075
299	1	222.0835	0	222.0835	0.2484952	0.8972578	0.003692402	2.789379	3.054076
300	0	-277.8485	0	-277.8485	0.09424347	0.7358376	0.1703689	7.354857	-6.4712
301	1	221.8057	0	221.8057	0.1771836	0.8560379	0.003255874	3.912028	3.052723
302	0	-280.9895	0	-280.9895	0.04875668	0.5539057	0.1442086	14.21645	-6.39821
303	1	224.9929	0	224.9929	0.1448198	0.8243016	0.002151544	4.786273	3.052723
