Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
95	1	-73.36262	-95.13933	21.7767	0	0	1	1	0.004290835	0.005674962	0.004110143	1.529198e-05	0.02378148	0.02378148	0.009175501	0.009175501	0.894079	0.0624678	0.0336115	0.00984172
96	0	-67.04537	-90.08586	23.04049	1	0	0	0	0.006280467	0.006280467	0.002490018	0.001105176	0.04132279	0.005092353	0.01137739	0.001688227	0.104846	0.0520408	0.292672	0.550441
97	1	-70.31092	-93.6128	23.30189	1	0	0	0	0.004290835	0.004290835	0.008648584	2.345735e-05	0.03396853	0.004498832	0.008999501	0.007431469	0.29547	0.198992	0.474187	0.0313509
98	0	-74.93569	-88.94206	14.00637	1	0	1	1	0.003222552	0.003222552	0.003001941	0.0001603897	0.03903239	0.03903239	0.01654065	0.01654065	0.0630586	0.0312994	0.535048	0.370594
99	1	-69.70821	-92.73229	23.02408	1	0	0	0	0.004290835	0.004290835	0.006379855	2.768576e-05	0.03396853	0.004514316	0.008882308	0.01138674	0.305996	0.152572	0.36357	0.177862
100	0	-69.21181	-86.99752	17.78571	0	0	1	1	0.004668116	0.001099409	0.003462773	0.0001489595	0.04392862	0.04392862	0.01656907	0.01656907	0.107159	0.0513284	0.233769	0.607744
101	1	-65.86311	-91.27759	25.41448	0	0	0	0	0.01368553	0.003291177	0.003917081	3.391686e-05	0.04162315	0.003383245	0.008882308	0.01049777	0.13465	0.281377	0.159985	0.423987
102	0	-64.44386	-87.39159	22.94773	0	0	0	0	0.007914365	0.001640908	0.004363092	0.0001143948	0.05461848	0.008748418	0.0189513	0.003073191	0.255151	0.0428205	0.195021	0.507007
103	1	-68.66382	-89.59977	20.93595	0	0	1	0	0.009406349	0.005499283	0.003381044	0.003561363	0.05058302	0.05058302	0.006783888	0.002179588	0.167619	0.350271	0.199156	0.282955
104	0	-66.61837	-87.83079	21.21242	0	0	1	0	0.007145962	0.001420789	0.00568504	0.0001143948	0.05371503	0.05371503	0.009437922	0.002293945	0.166211	0.0151763	0.0691184	0.749495
105	1	-77.95358	-90.68013	12.72655	1	1	1	0	0.009406349	0.009406349	0.003381044	0.003381044	0.03943079	0.03943079	0.01255796	0.004502432	0.198967	0.461129	0.262188	0.0777169
106	0	-77.7519	-92.61872	14.86682	1	1	1	0	0.003359018	0.003359018	0.004246784	0.004246784	0.0342894	0.0342894	0.006464458	0.008676397	0.0689916	0.0169458	0.0771776	0.836885
