Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
410	0	-108.5561	-103.9509	-4.60517	0.09237429
411	1	-108.5947	-103.9895	-4.60517	0.09541297
412	0	-108.6082	-104.0031	-4.60517	0.09619007
413	1	-108.6985	-104.0933	-4.60517	0.07894886
414	0	-108.5498	-103.9446	-4.60517	0.08673466
415	1	-108.6348	-104.0296	-4.60517	0.08121309
416	0	-109.1019	-104.4968	-4.60517	0.07054107
417	1	-108.5879	-103.9828	-4.60517	0.09499126
418	0	-109.0853	-104.4801	-4.60517	0.1102196
419	1	-108.5467	-103.9415	-4.60517	0.09103752
420	0	-108.5831	-103.9779	-4.60517	0.09467033
421	1	-111.1516	-106.5465	-4.60517	0.05238452
422	0	-108.7211	-104.1159	-4.60517	0.1009003
423	1	-111.3977	-106.7925	-4.60517	0.1417734
424	0	-109.5515	-104.9463	-4.60517	0.1185832
425	1	-109.4808	-104.8756	-4.60517	0.06558623
426	0	-108.5465	-103.9413	-4.60517	0.08727667
427	1	-108.5917	-103.9865	-4.60517	0.08328066
428	0	-109.2401	-104.6349	-4.60517	0.1132506
429	1	-108.5418	-103.9367	-4.60517	0.08876017
430	0	-108.7701	-104.1649	-4.60517	0.1024771
431	1	-108.5463	-103.9412	-4.60517	0.09097039
432	0	-109.4684	-104.8632	-4.60517	0.06572773
433	1	-108.5419	-103.9367	-4.60517	0.08872639
434	0	-108.7243	-104.1191	-4.60517	0.1010094
435	1	-109.7369	-105.1318	-4.60517	0.1214299
436	0	-108.5815	-103.9763	-4.60517	0.09456094
437	1	-108.6812	-104.0761	-4.60517	0.09946261
438	0	-109.2433	-104.6381	-4.60517	0.1133105
439	1	-109.0749	-104.4698	-4.60517	0.07096166
440	0	-108.9231	-104.3179	-4.60517	0.1066028
441	1	-108.5497	-103.9445	-4.60517	0.09154096
442	0	-109.3462	-104.741	-4.60517	0.06718136
443	1	-111.8504	-107.2453	-4.60517	0.1464336
444	0	-108.8355	-104.2303	-4.60517	0.07539114
445	1	-108.608	-104.0028	-4.60517	0.08241774
446	0	-108.5456	-103.9404	-4.60517	0.09081062
447	1	-108.5877	-103.9825	-4.60517	0.08351559
448	0	-109.3345	-104.7294	-4.60517	0.0673262
449	1	-108.8576	-104.2524	-4.60517	0.074912
450	0	-108.637	-104.0318	-4.60517	0.09761774
451	1	-108.7896	-104.1845	-4.60517	0.1030628
452	0	-108.9994	-104.3942	-4.60517	0.1083753
453	1	-108.6464	-104.0413	-4.60517	0.08074842
454	0	-108.7116	-104.1064	-4.60517	0.1005723
455	1	-108.9101	-104.3049	-4.60517	0.1062861
456	0	-108.5423	-103.9371	-4.60517	0.08843479
457	1	-109.6316	-105.0264	-4.60517	0.1198367
458	0	-108.7899	-104.1847	-4.60517	0.1030698
459	1	-108.69	-104.0848	-4.60517	0.07921696
460	0	-108.5435	-103.9383	-4.60517	0.09027837
461	1	-108.5422	-103.9371	-4.60517	0.0884809
462	0	-109.3773	-104.7722	-4.60517	0.1157037
463	1	-110.3312	-105.726	-4.60517	0.05782065
464	0	-108.6213	-104.0161	-4.60517	0.08179533
465	1	-108.6805	-104.0754	-4.60517	0.0795266
466	0	-108.5421	-103.9369	-4.60517	0.08970877
467	1	-109.3622	-104.757	-4.60517	0.1154422
468	0	-109.2715	-104.6664	-4.60517	0.06813488
469	1	-108.6138	-104.0086	-4.60517	0.09648396
470	0	-108.5737	-103.9685	-4.60517	0.08442725
471	1	-113.7309	-109.1257	-4.60517	0.0408164
472	0	-108.7055	-104.1003	-4.60517	0.07873181
473	1	-108.7279	-104.1227	-4.60517	0.07807423
474	0	-110.1776	-105.5724	-4.60517	0.05901423
475	1	-108.5416	-103.9365	-4.60517	0.08912821
476	0	-108.5559	-103.9507	-4.60517	0.08597716
477	1	-108.6077	-104.0025	-4.60517	0.09616031
478	0	-108.62	-104.0149	-4.60517	0.09680562
479	1	-109.0007	-104.3956	-4.60517	0.07218452
480	0	-108.7161	-104.1109	-4.60517	0.07841493
481	1	-109.212	-104.6069	-4.60517	0.06893769
482	0	-108.7624	-104.1572	-4.60517	0.07713718
483	1	-109.5737	-104.9685	-4.60517	0.1189344
484	0	-108.6986	-104.0934	-4.60517	0.07894467
485	1	-112.1238	-107.5186	-4.60517	0.04731011
486	0	-108.678	-104.0729	-4.60517	0.07961058
487	1	-108.5552	-103.9501	-4.60517	0.08604979
488	0	-108.5501	-103.945	-4.60517	0.08668754
489	1	-108.5755	-103.9703	-4.60517	0.0941288
490	0	-109.0537	-104.4485	-4.60517	0.1095571
491	1	-108.7521	-104.1469	-4.60517	0.1019174
492	0	-109.9953	-105.3901	-4.60517	0.1251109
493	1	-108.9891	-104.3839	-4.60517	0.07238689
494	0	-110.9333	-106.3282	-4.60517	0.05370254
495	1	-108.6389	-104.0337	-4.60517	0.08104662
